id,name,year,rank
838254,Cease Fire,2006,5.2
1111874,Atash-e jonoob,1976,4.9
845426,Atash-e penhan,1990,4.4
1291107,The Green Fire,2008,6.2
1630572,Fire Keeper,2009,6.0
5819870,Autumn Memories,2016,6.7
7897086,Autumn Song,2016,6.6
7259986,Ava,2017,6.6
405720,The Strong Man,1960,4.0
4169580,Avalanche,2015,5.0
12888274,My First Photo,2014,6.6
1907617,Swan Song,2001,5.7
997246,The Song of Sparrows,2008,7.9
2168360,The Married Man,1973,4.9
6249970,Ayalvar,1993,4.7
117056,The Mirror,1997,7.5
1974212,Facing Mirrors,2011,6.9
1111908,Ayyoob,1971,6.2
3084132,Ayyub e Payambar,1993,6.5
106330,From Karkheh to Rhein,1993,7.3
3582948,From Tehran to Heaven,2013,3.7
1413507,From Afar,2006,5.9
277588,Going By,2001,6.4
7581124,Parole,2015,5.0
6209534,Azar,2017,4.7
3516160,Azar-Shahdokht-Parviz and Others,2014,4.7
12247054,Million Dollar Baby,2017,4.1
6224560,Azizam-Man Kook Nistam,2002,4.5
2211784,Laboratory,2012,4.3
3989482,With Others,2014,5.4
417457,The Polite Ones,1963,3.7
6644234,A Very Dog Day Afternoon,2010,3.7
103746,The Lady,1992,6.8
395461,Bab'Aziz: The Prince That Contemplated His Soul,2005,7.6
6258214,Baba Goli Be Jamalet,1976,2.9
5582984,Baba Karam,1970,6.6
495677,Baba Shamal,1971,5.8
429626,The Mountain Tiger,1965,6.5
292945,The Tiger of Mazandaran,1968,7.0
299661,Children of Divorce,1990,4.5
277592,Children of Petroleum,2001,6.8
118849,Children of Heaven,1997,8.3
343392,Bachehaye bad,2000,4.8
8143764,Back Alleys of Shemroon,2012,5.1
209463,The Wind Will Carry Us,1999,7.5
2089625,Wind and Fog,2011,6.9
1933544,The Stuntman,1994,3.6
7830580,Bitter Almonds,2000,4.3
5552924,Evildoers,1973,2.9
112445,The White Balloon,1995,7.7
103760,Baduk,1992,6.6
1112637,Bagh-e boloor,1979,6.4
10599028,Baghe Aloche,2005,4.7
